name,source,licence,note,wkt
Baiului,drawn,own,"coarse outline, no boundary exists in any source","POLYGON((25.53000 45.31000, 25.66000 45.29000, 25.79000 45.38000, 25.75000 45.49000, 25.61000 45.54000, 25.52000 45.45000, 25.53000 45.31000))"
Bucegi,osm,odbl,"OSM relation 2196558, simplified to 92 points","POLYGON((25.360496 45.3487347,25.354898 45.366271,25.362715 45.384224,25.340512 45.408924,25.352035 45.411469,25.3595188 45.4238405,25.370084 45.419096,25.375569 45.425054,25.3593629 45.4316095,25.368771 45.433956,25.359983 45.442767,25.371352 45.454404,25.365299 45.46301,25.3654519 45.4717969,25.37555 45.477149,25.3693527 45.4888268,25.379862 45.483234,25.385799 45.4888099,25.392823 45.481284,25.408906 45.495376,25.414611 45.492046,25.426924 45.511923,25.445349 45.516226,25.462825 45.503985,25.466705 45.506758,25.467271 45.497532,25.480473 45.489527,25.480595 45.474446,25.492387 45.462874,25.514866 45.471345,25.519023 45.479311,25.540154 45.475962,25.563336 45.488257,25.561438 45.469153,25.577644 45.477325,25.591182 45.466504,25.643433 45.47673,25.677777 45.462091,25.662637 45.456554,25.672127 45.455312,25.668158 45.453273,25.682539 45.446404,25.677783 45.445095,25.682534 45.440592,25.641046 45.455093,25.628791 45.450009,25.609554 45.454029,25.5881092 45.4445491,25.5552978 45.4458445,25.5585554 45.4498155,25.5488461 45.444414,25.548124 45.437024,25.563303 45.428562,25.550298 45.426255,25.545605 45.431474,25.5251445 45.4205334,25.5337711 45.4149961,25.5192888 45.4061816,25.53421 45.40841,25.536948 45.373065,25.5482507 45.3587467,25.5300578 45.3593344,25.5341123 45.3505059,25.543819 45.351183,25.5358462 45.3440994,25.5560937 45.3333662,25.5438232 45.3269985,25.558063 45.324689,25.569905 45.306526,25.591531 45.315257,25.601599 45.303184,25.617844 45.299337,25.591489 45.273743,25.559927 45.284947,25.54964 45.279593,25.535387 45.287818,25.511106 45.283969,25.506204 45.293319,25.499661 45.27388,25.460661 45.246717,25.430148 45.274369,25.414741 45.276394,25.407055 45.274339,25.402414 45.263634,25.377642 45.260702,25.359565 45.268918,25.362894 45.288594,25.348184 45.296766,25.3819727 45.3059632,25.379365 45.320878,25.366504 45.330071,25.360496 45.3487347))"
Ciucaș,drawn,own,"coarse outline, no boundary exists in any source","POLYGON((25.85000 45.45000, 26.02000 45.44000, 26.08000 45.54000, 25.97000 45.60000, 25.84000 45.55000, 25.85000 45.45000))"
Clăbucetele Întorsurii,drawn,own,"coarse outline, no boundary exists in any source","POLYGON((25.93000 45.61000, 26.11000 45.60000, 26.16000 45.70000, 26.04000 45.76000, 25.92000 45.70000, 25.93000 45.61000))"
Comana,osm,odbl,"OSM relation 13655462, simplified to 28 points","POLYGON((25.9431848 44.2339182,26.0024654 44.1861414,26.0592241 44.1780258,26.1170276 44.1929797,26.1333217 44.1897351,26.149794 44.2087524,26.1758443 44.2130338,26.1969633 44.1901073,26.2121879 44.1840006,26.2078589 44.1799294,26.2344391 44.0837671,26.1031582 44.0496603,26.1063664 44.0531287,26.0774357 44.0693142,26.0892082 44.0895864,26.0677816 44.0905754,26.0548512 44.0981269,26.0584365 44.1036706,26.0475053 44.1198519,26.0522083 44.1219298,26.052814 44.1432771,26.012755 44.1402119,25.9661808 44.1469621,25.9408122 44.1377059,25.9415921 44.1956908,25.9468893 44.2011517,25.9265781 44.2211237,25.9431848 44.2339182))"
Dealurile Prahovei,drawn,own,"coarse outline, no boundary exists in any source","POLYGON((25.53000 45.08000, 25.74000 45.06000, 25.82000 45.18000, 25.72000 45.28000, 25.56000 45.26000, 25.49000 45.17000, 25.53000 45.08000))"
Făgăraș,osm,odbl,"OSM relation 2201635, simplified to 165 points","POLYGON((24.58293 45.358695,24.567239 45.350627,24.570613 45.34616,24.529101 45.341364,24.507646 45.35038,24.503906 45.357915,24.463761 45.364312,24.468208 45.391538,24.449052 45.418749,24.456686 45.423873,24.445864 45.432005,24.449875 45.457062,24.424871 45.477273,24.422781 45.500874,24.403707 45.495886,24.377798 45.5022,24.327531 45.497817,24.314104 45.519729,24.273639 45.532848,24.267011 45.560888,24.251443 45.567651,24.263774 45.595167,24.2614416 45.6136131,24.266018 45.616085,24.273703 45.602006,24.302514 45.600795,24.310625 45.593152,24.314493 45.599594,24.336072 45.598032,24.337366 45.613792,24.348838 45.624787,24.370391 45.61881,24.376786 45.628888,24.400985 45.617751,24.414873 45.620342,24.419524 45.637056,24.451105 45.664842,24.450946 45.67678,24.454523 45.665177,24.466535 45.658654,24.468037 45.667075,24.477015 45.670107,24.488953 45.661683,24.488527 45.693325,24.506325 45.686298,24.512647 45.675055,24.522519 45.67463,24.514347 45.684099,24.523743 45.682269,24.513627 45.695344,24.533777 45.683775,24.521133 45.713878,24.551284 45.698751,24.552966 45.670593,24.557201 45.676632,24.55755 45.688586,24.560353 45.69083,24.564816 45.677869,24.576925 45.678343,24.577276 45.667821,24.5784974 45.6764881,24.573883 45.694321,24.6042561 45.6985687,24.611425 45.691828,24.637336 45.697715,24.661481 45.695855,24.668708 45.688622,24.70277 45.700797,24.7105336 45.6837075,24.7175766 45.6944865,24.7290676 45.6916675,24.7236466 45.7046495,24.7276216 45.7053515,24.7384086 45.6922305,24.7749516 45.6949725,24.7943756 45.6865245,24.8122736 45.6912035,24.8194096 45.6830425,24.8336686 45.6897695,24.8714806 45.6786664,24.8772176 45.6838865,24.8798386 45.6640464,24.894032 45.673184,24.895606 45.687117,24.909038 45.686695,24.926654 45.663304,24.921466 45.671275,24.930159 45.692363,24.936193 45.685452,24.96128 45.683434,24.975965 45.690086,24.980937 45.704088,24.9901499 45.6850202,25.008375 45.704586,25.023785 45.675185,25.050039 45.694104,25.058316 45.680017,25.054209 45.66767,25.065321 45.686259,25.084269 45.670202,25.094265 45.681136,25.104896 45.676594,25.112946 45.682986,25.109427 45.715389,25.118681 45.711977,25.117454 45.719496,25.141078 45.717548,25.144193 45.712193,25.145966 45.721699,25.170002 45.727016,25.175228 45.72053,25.195579 45.736496,25.21914 45.72824,25.231655 45.736986,25.223098 45.715704,25.199558 45.694705,25.20844 45.684528,25.205735 45.667632,25.190828 45.654772,25.154224 45.654608,25.148576 45.645932,25.146093 45.63795,25.177546 45.627467,25.168356 45.6235,25.156032 45.599311,25.127484 45.609368,25.120048 45.592696,25.136379 45.590246,25.167614 45.565679,25.197297 45.561262,25.1970949 45.5601562,25.171432 45.530985,25.139078 45.509128,25.122082 45.506726,25.12163 45.496124,25.096952 45.49841,25.101371 45.494541,25.097752 45.488023,25.081392 45.48068,25.082795 45.472071,25.060317 45.461665,25.055681 45.450675,25.000301 45.434367,24.967148 45.443227,24.952782 45.459362,24.93388 45.449545,24.914062 45.451537,24.905171 45.439777,24.86507 45.418169,24.85694 45.405251,24.846983 45.406845,24.794382 45.386956,24.748804 45.383618,24.752624 45.360053,24.767085 45.350844,24.756438 45.345226,24.762125 45.334387,24.752453 45.328791,24.761852 45.318616,24.738762 45.325075,24.726536 45.321778,24.724237 45.334699,24.694136 45.356385,24.624773 45.347625,24.58293 45.358695))"
Leaota,drawn,own,"coarse outline, no boundary exists in any source","POLYGON((25.24000 45.30000, 25.42000 45.28000, 25.48000 45.40000, 25.38000 45.51000, 25.23000 45.46000, 25.24000 45.30000))"
Nordul Bucureștiului,drawn,own,"coarse outline, no boundary exists in any source","POLYGON((25.90000 44.49000, 26.10000 44.48000, 26.14000 44.58000, 26.00000 44.63000, 25.89000 44.58000, 25.90000 44.49000))"
Perșani,drawn,own,"coarse outline, no boundary exists in any source","POLYGON((25.19000 45.66000, 25.44000 45.63000, 25.52000 45.79000, 25.40000 45.97000, 25.20000 45.93000, 25.12000 45.78000, 25.19000 45.66000))"
