seed_id,sheet_label,massif
1,Bucegi,Bucegi
2,Bucegi,Bucegi
3,Bucegi,Bucegi
4,Bucegi,Bucegi
5,Bucegi,Bucegi
6,Bucegi,Bucegi
7,Bucegi,Bucegi
8,Bucegi,Bucegi
9,Bucegi,Bucegi
10,Bucegi,Bucegi
11,Bucegi,Bucegi
12,Bucegi,Bucegi
13,Bucegi,Bucegi
14,Bucegi,Bucegi
15,Bucegi,Bucegi
16,Bucegi,Bucegi
17,Bucegi,Bucegi
18,Bucegi,Bucegi
19,Bucegi,Bucegi
20,Bucegi,Bucegi
21,Baiului,Baiului
22,Baiului,Baiului
23,Baiului,Baiului
24,Bucegi,Bucegi
25,Bucegi,Bucegi
26,Bucegi,Bucegi
27,Bucegi,Bucegi
28,Bucegi,Bucegi
29,Bucegi,Bucegi
30,Bucegi,Bucegi
31,Bucegi,Bucegi
32,Bucegi,Bucegi
33,Bucegi,Bucegi
34,Bucegi,Bucegi
35,Bucegi,Bucegi
36,Bucegi,Bucegi
37,Bucegi,Bucegi
38,Bucegi,Bucegi
39,Bucegi,Bucegi
40,Bucegi,Bucegi
41,Bucegi,Bucegi
42,Baiului,Baiului
43,Bucegi,Bucegi
44,Bucegi,Bucegi
45,Baiului,Baiului
46,Baiului,Baiului
47,Baiului,Baiului
48,Baiului,Baiului
49,Baiului,Baiului
50,Baiului,Baiului
51,Baiului,Baiului
52,Baiului,Baiului
53,Baiului,Baiului
54,Baiului,Baiului
55,Baiului,Baiului
56,Baiului,Baiului
57,Baiului,Baiului
58,Baiului,Baiului
59,Baiului,Baiului
60,Baiului,Baiului
61,Baiului,Baiului
62,Baiului,Baiului
63,Baiului,Baiului
64,Baiului,Baiului
65,Baiului,Baiului
66,Baiului,Baiului
67,Baiului,Baiului
68,Persani,Perșani
69,Bucegi,Bucegi
70,Baiului,Baiului
71,Baiului,Baiului
72,Piatra Mare,Piatra Mare
73,Piatra Mare,Piatra Mare
74,Piatra Mare,Piatra Mare
75,Piatra Mare,Piatra Mare
76,Piatra Mare,Piatra Mare
77,Piatra Mare,Piatra Mare
78,Piatra Mare,Piatra Mare
79,Persani,Perșani
80,Postavaru,Postăvaru
81,Postavaru,Postăvaru
82,Piatra Mare,Piatra Mare
83,Piatra Mare,Piatra Mare
84,Piatra Mare,Piatra Mare
85,Postavaru,Postăvaru
86,Postavaru,Postăvaru
87,Postavaru,Postăvaru
88,Postavaru,Postăvaru
89,Postavaru,Postăvaru
90,Postavaru,Postăvaru
91,Postavaru,Postăvaru
92,Postavaru,Postăvaru
93,Postavaru,Postăvaru
94,Postavaru,Postăvaru
95,Persani,Perșani
96,Persani,Perșani
97,Persani,Perșani
98,Persani,Perșani
99,Postavaru,Postăvaru
100,Bucegi,Bucegi
101,Bucegi,Bucegi
102,Bucegi,Bucegi
103,Persani,Perșani
104,Postavaru,Postăvaru
105,Piatra Craiului,Piatra Craiului
106,Piatra Craiului,Piatra Craiului
107,Piatra Craiului,Piatra Craiului
108,Piatra Craiului,Piatra Craiului
109,Piatra Craiului,Piatra Craiului
110,Piatra Craiului,Piatra Craiului
111,Piatra Craiului,Piatra Craiului
112,Piatra Craiului,Piatra Craiului
113,Piatra Craiului,Piatra Craiului
114,Piatra Craiului,Piatra Craiului
115,Piatra Craiului,Piatra Craiului
116,Piatra Craiului,Piatra Craiului
117,Piatra Craiului,Piatra Craiului
118,Piatra Craiului,Piatra Craiului
119,Piatra Craiului,Piatra Craiului
120,Piatra Craiului,Piatra Craiului
121,Piatra Craiului,Piatra Craiului
122,Ciucas,Ciucaș
123,Ciucas,Ciucaș
124,Ciucas,Ciucaș
125,Ciucas,Ciucaș
126,Ciucas,Ciucaș
127,Ciucas,Ciucaș
128,Ciucas,Ciucaș
129,Ciucas,Ciucaș
130,Slanic,Slănic Prahova
131,Slanic,Slănic Prahova
132,Slanic,Slănic Prahova
133,Prahova hills,Dealurile Prahovei
134,Prahova hills,Dealurile Prahovei
135,Prahova hills,Dealurile Prahovei
136,Prahova hills,Dealurile Prahovei
137,Prahova hills,Dealurile Prahovei
138,Bucegi west,Bucegi
139,Leaota,Leaota
140,Leaota,Leaota
141,Bucegi west,Bucegi
142,Bucegi west,Bucegi
143,Bucegi,Bucegi
144,Bucegi,Bucegi
145,Bucegi,Bucegi
146,Bucegi,Bucegi
147,Bucegi,Bucegi
148,Bucegi,Bucegi
149,Bucegi,Bucegi
150,Bucegi,Bucegi
151,Bucegi,Bucegi
152,Bucegi,Bucegi
153,Intorsurii,Clăbucetele Întorsurii
154,Siriu,Siriu
155,Siriu,Siriu
156,Siriu,Siriu
157,Persani,Perșani
158,Persani,Perșani
159,Persani,Perșani
160,Fagaras,Făgăraș
161,Fagaras,Făgăraș
162,Fagaras,Făgăraș
163,Fagaras,Făgăraș
164,Bucharest area,Comana
165,Bucharest area,Comana
166,Bucharest area,Nordul Bucureștiului
167,Bucharest area,Nordul Bucureștiului
168,Bucegi,Bucegi
169,Bucegi,Bucegi
170,Bucegi,Bucegi
171,Baiului,Baiului
172,Baiului,Baiului
173,Bucegi,Bucegi
174,Bucegi,Bucegi
175,Piatra Mare,Piatra Mare
176,Postavaru,Postăvaru
177,Piatra Craiului,Piatra Craiului
178,Ciucas,Ciucaș
179,Bucegi,Bucegi
180,Bucegi,Bucegi
181,Baiului,Baiului
182,Piatra Mare,Piatra Mare
183,Postavaru,Postăvaru
184,Persani,Perșani
185,Piatra Craiului,Piatra Craiului
