ID,Massif,Route,Start station,Finish station,Train h one way,Walk to start min,Bus min,Km,Ascent m,Terrain,Technical,Season,Quiet 1-5,Confidence,MET,Moving time now h,Moving time fit h,Day length h,Effort points,Hiking difficulty,Technical score,Overall difficulty,Stage,Trip type,kcal 130 kg,kcal 120 kg,kcal 110 kg,kcal 100 kg,Notes,Done,Date done,My rating 1-5
1,Bucegi,Poiana Stanii Regale loop,Sinaia,Sinaia,1.6,0,0,5,300,FOREST,NONE,ALL,2,H,5.5,2.52380952380952,1.79047619047619,6.72380952380952,8,2,0,2,1,1 day,1800,1670,1530,1390,Trail starts at the station. Best first hike.,,,
2,Bucegi,Poteca Regala - Stanca Franz Joseph,Sinaia,Sinaia,1.6,10,0,6.5,350,FOREST,NONE,ALL,3,H,5.5,3.16666666666667,2.24761904761905,7.7,10,3,0,3,1,1 day,2260,2090,1920,1740,Old royal path above the park.,,,
3,Bucegi,Cumpatu - Sfanta Ana forest loop,Sinaia,Sinaia,1.6,15,0,7,300,FOREST,NONE,ALL,4,M,5.5,3.19047619047619,2.26666666666667,7.89047619047619,10,3,0,3,1,1 day,2280,2110,1930,1750,"East bank of the Prahova, quiet.",,,
4,Bucegi,Valea Pelesului - Poiana Stanii,Sinaia,Sinaia,1.6,10,0,8,450,FOREST,NONE,ALL,3,M,5.5,3.95238095238095,2.8047619047619,8.48571428571429,12.5,4,0,4,2,1 day,2830,2610,2390,2170,Combine with the castle grounds.,,,
5,Bucegi,Piscul Cainelui,Sinaia,Sinaia,1.6,10,0,10,650,TRAIL,NONE,APR-NOV,4,H,6.3,5.19047619047619,3.68095238095238,9.72380952380953,16.5,5,0,5,2,1 day,4250,3920,3600,3270,"Steady forest climb, few people.",,,
6,Bucegi,Cascada Vanturis via Izvorul Dorului,Sinaia,Sinaia,1.6,20,0,12,700,TRAIL,NONE,MAY-OCT,3,H,6.3,6,4.25714285714286,10.8666666666667,19,5,0,5,2,1 day,4910,4540,4160,3780,Waterfall turnaround point.,,,
7,Bucegi,Cota 1400 on foot (old road),Sinaia,Sinaia,1.6,5,0,7,600,FOREST,NONE,ALL,2,H,5.5,4.04761904761905,2.86666666666667,8.41428571428572,13,4,0,4,2,1 day,2890,2670,2450,2230,Return by cable car if tired.,,,
8,Bucegi,Cota 1400 - Cota 2000 on foot,Sinaia,Sinaia,1.6,5,0,12,1150,TRAIL,NONE,JUN-OCT,2,H,6.3,7.28571428571429,5.15714285714286,11.652380952381,23.5,6,0,6,3,1 day,5970,5510,5050,4590,Above tree line at the top.,,,
9,Bucegi,Varful cu Dor via Valea Dorului,Sinaia,Sinaia,1.6,5,0,13,1050,TRAIL,NONE,JUN-OCT,2,H,6.3,7.33333333333333,5.19523809523809,11.7,23.5,6,0,6,3,1 day,6010,5540,5080,4620,"Open ridge, wind exposed.",,,
10,Bucegi,Varful Furnica via Drumul de Vara,Sinaia,Sinaia,1.6,5,0,14,1150,TRAIL,NONE,JUN-OCT,2,H,6.3,7.95238095238095,5.63333333333333,12.3190476190476,25.5,6,0,6,3,1 day,6510,6010,5510,5010,"Long steady gradient, no scrambling.",,,
